t,nw_0,target_0,input_0
0,0.41920524780510127,1,1
1,0.6826130327096773,,1
2,0.8373439375511043,,1
3,0.9187383427743838,,1
4,0.9527434877611507,,1
5,0.9579149936714867,,1
6,0.9470137777144515,,1
7,0.9283689690404267,,1
8,0.9070602877447261,,1
9,0.8859115702946058,,1
10,0.8662807960138014,,1
11,0.8486488778466046,,1
12,0.8330283243757127,,1
13,0.8192248650546265,,1
14,0.8069889130314196,,1
15,0.7960912313211688,,1
16,0.7863511069808304,,1
17,0.7776381077703294,,1
18,0.7698616975685245,,1
19,0.7629574393148364,,1
20,0.7568744495947414,,1
21,0.7515660682523008,,1
22,0.7469840931905074,,1
23,0.743076097533904,,1
24,0.7397850221571479,,1
25,0.737050210849324,,1
26,0.7348091801312928,,1
27,0.7329995958312874,,1
28,0.731561108735497,,1
29,0.7304368544293466,,1
30,0.2703531267075182,,0
31,-0.00014815511572177642,,0
32,-0.14696238566005643,0,0
33,-0.21587357245813557,,0
34,-0.2383968371746994,,0
35,-0.23554475192136845,,0
36,-0.2206546222288966,,0
37,-0.20163352050601102,,0
38,-0.1827202556300243,,0
39,-0.1658167941597203,,0
40,-0.15144926392478586,,0
41,-0.1394265645752392,,0
42,-0.12926385216869707,,0
43,-0.12043176290014244,,0
44,-0.11248337341745115,,0
45,-0.10510119039427648,,0
46,-0.0980967655673382,,0
47,-0.09138648698572836,,0
48,-0.08495924167062632,,0
49,-0.07884532695606619,,0
50,-0.07309130792463138,,0
51,-0.06774235759265512,,0
52,-0.06283171561935318,,0
53,-0.05837594655386297,,0
54,-0.05437436704065769,,0
55,-0.05081108850565534,,0
56,-0.04765839577045916,,0
57,-0.04488052199504636,,0
58,-0.042437206856478914,,0
59,-0.04028669715639461,,0
60,-0.038388052784507375,,0
61,-0.03670275800902471,,0
62,-0.0351957187288924,,0
63,-0.033835764060163656,0,0
64,-0.032595778754262845,,0
65,-0.031452582888274315,,0
66,-0.030386655879335783,,0
67,-0.029381779403720425,,0
68,-0.02842465221755013,,0
69,-0.0275045113572924,,0
70,-0.0266127796271979,,0
71,-0.025742748692286495,,0
72,-0.024889300033819478,,0
73,-0.024048661807480998,,0
74,-0.02321819754252716,,0
75,-0.022396221961943987,,0
76,-0.021581839431984134,,0
77,-0.02077480123879497,,0
78,-0.01997537874097336,,0
79,-0.019184250269103805,,0
80,-0.01840240033140972,,0
81,-0.017631030195533345,,0
82,-0.01687147924854417,,0
83,-0.016125156713397842,,0
84,-0.015393483354796454,,0
85,-0.014677842778164531,,0
86,-0.013979541846814738,,0
87,-0.01329977964317564,,0
88,-0.012639624301886684,,0
89,-0.011999996960423295,,0
90,-0.011381662015296702,,0
91,-0.010785222842297795,,0
92,-0.010211122137591259,,0
93,-0.009659646059900575,,0
94,-0.00913093139833676,1,0
95,-0.008624975050641744,,0
96,-0.008141645167688867,,0
97,-0.007680693397382487,,0
98,-0.0072417677405155435,,0
99,-0.006824425609385532,,0
100,-0.0064281467544671225,,0
101,-0.006052345793402534,,0
102,-0.005696384138784989,,0
103,-0.005359581176115078,,0
104,-0.0050412245906967775,,0
105,-0.004740579782294728,,0
106,-0.004456898339498014,,0
107,-0.004189425572502877,,0
108,-0.003937407124089602,,0
109,-0.0037000946946464616,,0
110,-0.00347675092884235,,0
111,-0.0032666535196936215,,0
112,-0.0030690985908749923,,0
113,-0.002883403420784204,,0
114,-0.0027089085725580334,,0
115,-0.00254497949340315,,0
116,-0.002391007644594995,,0
117,-0.002246411220630502,,0
118,-0.0021106355125685905,,0
119,-0.0019831529667176193,,0
120,-0.0018634629857698303,,0
121,-0.001751091515301611,,0
122,-0.0016455904544164582,,0
123,-0.001546536925256902,,0
124,-0.001453532432207289,,0
125,-0.001366201937924616,0,0
126,-0.0012841928798623865,,0
127,-0.001207174147734036,,0
128,-0.0011348350394057324,,0
129,-0.001066884210001819,,0
130,-0.0010030486265666337,,0
131,-0.0009430725384363083,,0
132,-0.0008867164715079518,,0
133,-0.0008337562528865712,,0
134,-0.000783982070860374,,0
135,-0.0007371975738575855,,0
136,-0.0006932190108958195,,0
137,-0.0006518744150814351,,0
138,-0.0006130028309054298,,0
139,-0.0005764535853980146,,0
140,-0.0005420856026721761,,0
141,-0.0005097667609218163,,0
142,-0.000479373290609281,,0
143,-0.00045078921229737705,,0
144,-0.00042390581240006793,,0
145,-0.0003986211549776277,,0
146,-0.0003748396276322828,,0
147,-0.0003524715195173186,,0
148,-0.00033143262946521313,,0
149,-0.0003116439022739094,,0
150,-0.0002930310912285508,,0
151,-0.0002755244450096194,,0
152,-0.0002590584172103866,,0
153,-0.00024357139678164187,,0
154,-0.00022900545780742677,,0
155,-0.00021530612711937483,,0
156,-0.00020242216835197262,,0
157,-0.00019030538113966447,0,0
158,-0.0001789104142559757,,0
159,-0.00016819459157749812,,0
160,-0.000158117749860874,,0
161,-0.00014864208738490096,,0
162,-0.0001397320226069384,,0
163,-0.00013135406204614603,,0
164,-0.00012347667667890353,,0
165,-0.00011607018619118648,,0
166,-0.0001091066504996218,,0
167,-0.00010255976799758095,,0
168,-0.00009640478003337185,,0
169,-0.00009061838117634281,,0
170,-0.0000851786348615838,,0
171,-0.00008006489404570826,,0
172,-0.00007525772652709566,,0
173,-0.00007073884463365005,,0
174,-0.00006649103898359501,,0
175,-0.00006249811606578388,,0
176,-0.00005874483940398386,,0
177,-0.00005521687407869283,,0
178,-0.00005190073441257552,,0
179,-0.00004878373462429616,,0
180,-0.00004585394228657568,,0
181,-0.000043100134415025596,,0
182,-0.000040511756053509606,,0
183,-0.00003807888120154569,,0
184,-0.00003579217596087208,,0
185,-0.000033642863773913534,,0
186,-0.000031622692643635565,,0
187,-0.000029723904220762735,,0
188,-0.000027939204657996758,1,0
189,-0.00002626173713482212,,0
190,-0.000024685055964238897,,0
191,-0.000023203102186363125,,0
192,-0.000021810180577164068,,0
193,-0.000020500937989559292,,0
194,-0.000019270342951739656,,0
195,-0.000018113666458119053,,0
196,-0.0000170264638843506,,0
197,-0.000016004557960383843,,0
198,-0.00001504402274754367,,0
199,-0.00001414116856136338,,0
200,-0.00001329252778466405,,0
201,-0.00001249484152251129,,0
202,-0.000011745047050588703,,0
203,-0.00001104026600959493,,0
204,-0.00001037779330773939,,0
205,-0.000009755086681231553,,0
206,-0.000009169756885875923,,0
207,-0.00000861955847300791,,0
208,-0.000008102381120621051,,0
209,-0.000007616241486730787,,0
210,-0.000007159275551879786,,0
211,-0.000006729731424089667,,0
212,-0.000006325962577049338,,0
213,-0.000005946421498154037,,0
214,-0.000005589653717036412,,0
215,-0.000005254292198588936,,0
216,-0.000004939052071529554,,0
217,-0.000004642725677540276,,0
218,-0.000004364177920077482,,0
219,-0.000004102341892570899,0,0
220,-0.000003856214773354581,,0
221,-0.0000036248539646757435,,0
222,-0.000003407373471446146,,0
223,-0.0000032029404935172963,,0
224,-0.0000030107722252479494,,0
225,-0.0000028301328498169737,,0
226,-0.0000026603307130333452,,0
227,-0.000002500715669934804,,0
228,-0.0000023506765879046597,,0
229,-0.000002209639005276805,,0
230,-0.0000020770629264899005,,0
231,-0.000001952440753959714,,0
232,-0.0000018352953414521345,,0
233,-0.0000017251781661830322,,0
234,-0.0000016216676101348111,,0
235,-0.0000015243673470530548,,0
236,-0.0000014329048228820188,,0
237,-0.000001346929830407836,,0
238,-0.000001266113168390347,,0
239,-0.000001190145381324971,,0
240,-0.0000011187355755209138,,0
241,-0.0000010516103049837918,,0
242,-0.0000009885125251845231,,0
243,-0.000000929200609995393,,0
244,-0.000000873447426534261,,0
245,-0.0000008210394663696588,,0
246,-0.0000007717760276694623,,0
247,-0.0000007254684479453918,,0
248,-0.0000006819393825289116,,0
249,-0.0000006410221242862775,,0
250,-0.0000006025599673074102,1,0
251,-0.0000005664056063409744,,0
252,0.4192046969971953,,1
253,0.68261250155088,,1
254,0.8373434294093899,,1
255,0.91873786005824,,1
256,0.9527430321363874,,1
257,0.9579145662220416,,1
258,0.9470133789975591,,1
259,0.9283685991050056,,1
260,0.9070599461663424,,1
261,0.8859112562416683,,1
262,0.8662805083354642,,1
263,0.8486486151661226,,1
264,0.8330280851761537,,1
265,0.8192246477498971,,1
266,0.8069887160207453,,1
267,0.796091053028385,,1
268,0.78635094588122,,1
269,0.777637962407982,,1
270,0.7698615665668154,,1
271,0.7629573213820754,,1
272,0.7568743435264784,,1
273,0.7515659729313334,,1
274,0.7469840075853171,,1
275,0.7430760206959921,,1
276,0.739784953217613,,1
277,0.7370501490149204,,1
278,0.7348091246801344,,1
279,0.7329995461083527,,1
280,0.7315610641480264,,1
281,0.7304368144422344,,1
282,0.27035309213323055,0,0
283,-0.00014818525729287657,,0
284,-0.1469624120365135,,0
285,-0.21587359558327618,,0
286,-0.23839685748985529,,0
287,-0.2355447698267895,,0
288,-0.22065463808965435,,0
289,-0.20163353464885658,,0
290,-0.1827202683398657,,0
291,-0.16581680567888984,,0
292,-0.1514492744552922,,0
293,-0.13942657428300903,,0
294,-0.12926386118866862,,0
295,-0.12043177134134937,,0
296,-0.11248338136760118,,0
297,-0.10510119792363315,,0
298,-0.09809677273190397,,0
299,-0.09138649382982655,,0
300,-0.08495924822899868,,0
301,-0.0788453332556072,,0
302,-0.0730913139858413,,0
303,-0.06774236343088057,,0
304,-0.06283172124585237,,0
305,-0.0583759519767227,,0
306,-0.054374372265578716,,0
307,-0.050811093536617925,,0
308,-0.04765840061027654,,0
309,-0.04488052664581588,,0
310,-0.04243721131994496,,0
311,-0.04028670143422565,,0
312,-0.038388056878504884,,0
313,-0.036702761921270685,0,0
314,-0.03519572246184513,,0
315,-0.03383576761671385,,0
316,-0.03259578213775573,,0
317,-0.031452586102506265,,0
318,-0.030386658928531693,,0
319,-0.02938178229249761,,0
320,-0.028424654950871153,,0
321,-0.02750451394041452,,0
322,-0.026612782065616743,,0
323,-0.025742750991682096,,0
324,-0.024889302200000313,,0
325,-0.024048663846331444,,0
326,-0.023218199459959715,,0
327,-0.022396223763854157,,0
328,-0.021581841124210584,,0
329,-0.020774802827084108,,0
330,-0.01997538023094824,,0
331,-0.01918425166623764,,0
332,-0.0184024016410062,,0
333,-0.017631031422707777,,0
334,-0.016871480398211854,,0
335,-0.01612515779026341,,0
336,-0.015393484363348175,,0
337,-0.014677843722671115,,0
338,-0.013979542731324197,,0
339,-0.013299780471517789,,0
340,-0.012639625077675524,,0
341,-0.01199999768706232,,0
342,-0.01138166269598544,,0
343,-0.01078522348003854,,0
344,-0.010211122735197354,1,0
345,-0.009659646620004493,,0
346,-0.009130931923399595,,0
347,-0.008624975542961513,,0
348,-0.008141645629408816,,0
349,-0.007680693830501778,,0
350,-0.007241768146897471,,0
351,-0.006824425990765354,,0
352,-0.006428147112461464,,0
353,-0.00605234612951655,,0
354,-0.0056963844544206926,,0
355,-0.005359581472577688,,0
356,-0.005041224869202401,,0
357,-0.004740580043975828,,0
358,-0.004456898585410485,,0
359,-0.0041894258036305745,,0
360,-0.003937407341350697,,0
361,-0.003700094898897155,,0
362,-0.0034767511208822002,,0
363,-0.0032666537002693403,,0
364,-0.003069098760684782,,0
365,-0.002883403580480614,,0
366,-0.0027089087227520764,,0
367,-0.002544979634666832,,0
368,-0.0023910077774635203,,0
369,-0.0022464113456062396,,0
370,-0.0021106356301218735,,0
371,-0.0019831530772903105,,0
372,-0.0018634630897763655,,0
373,-0.0017510916131308286,,0
374,-0.0016455905464348316,,0
375,-0.0015465370118076958,0,0
376,-0.0014535325136133953,,0
377,-0.0013662020144898377,,0
378,-0.0012841929518724615,,0
379,-0.0012071742154580057,,0
380,-0.0011348351030967844,,0
381,-0.001066884269897394,,0
382,-0.0010030486828915288,,0
383,-0.0009430725914007875,,0
384,-0.000886716521310995,,0
385,-0.0008337562997147527,,0
386,-0.0007839821148903976,,0
387,-0.0007371976152550478,,0
388,-0.000693219049816504,,0
389,-0.0006518744516727591,,0
390,-0.0006130028653053966,,0
391,-0.0005764536177372074,,0
392,-0.0005420856330730554,,0
393,-0.000509766789499738,,0
394,-0.0004793733174725873,,0
395,-0.0004507892375491469,,0
396,-0.0004239058361364575,,0
397,-0.0003986211772891252,,0
398,-0.00037483964860402885,,0
399,-0.00035247153922920847,,0
400,-0.00033143264799308654,,0
401,-0.00031164391968861347,,0
402,-0.000293031107597049,,0
403,-0.0002755244603945922,,0
404,-0.00025905843167078554,,0
405,-0.00024357141037291804,,0
406,-0.00022900547058173504,,0
407,-0.000215306139126106,0,0
408,-0.00020242217963690703,,0
409,-0.00019030539174657335,,0
410,-0.00017891042422551852,,0
411,-0.00016819460094810935,,0
412,-0.00015811775866847477,,0
413,-0.00014864209566317537,,0
414,-0.0001397320303877846,,0
415,-0.0001313540693599081,,0
416,-0.00012347668355289302,,0
417,-0.0001160701926520658,,0
418,-0.00010910665657272205,,0
419,-0.00010255977370622575,,0
420,-0.00009640478539925962,,0
421,-0.00009061838621964644,,0
422,-0.00008517863960243276,,0
423,-0.00008006489850160645,,0
424,-0.0000752577307160237,,0
425,-0.00007073884857168312,,0
426,-0.00006649104268526447,,0
427,-0.00006249811954524688,,0
428,-0.00005874484267463432,,0
429,-0.00005521687715282925,,0
430,-0.000051900737302088524,,0
431,-0.000048783737340681354,,0
432,-0.00004585394483963207,,0
433,-0.00004310013681502684,,0
434,-0.000040511758309376615,,0
435,-0.000038078883322306884,,0
436,-0.00003579217795422023,,0
437,-0.000033642865647745326,,0
438,-0.000031622694405372325,1,0
439,-0.00002972390587681677,,0
440,-0.00002793920621438804,,0
441,-0.000026261738598312575,,0
442,-0.00002468505734005279,,0
443,-0.000023203103479571227,,0
444,-0.00002181018179317455,,0
445,-0.000020500939132415623,,0
446,-0.00001927034402582902,,0
447,-0.00001811366746783295,,0
448,-0.000017026464833685882,,0
449,-0.000016004558852529165,,0
450,-0.00001504402358631729,,0
451,-0.000014141169349802728,,0
452,-0.00001329252852565451,,0
453,-0.000012494842219112288,,0
454,-0.00001174504770483236,,0
455,-0.000011040266624546002,,0
456,-0.000010377793885422896,,0
457,-0.000009755087224491402,,0
458,-0.000009169757396688515,,0
459,-0.000008619558953335971,,0
460,-0.000008102381572188722,,0
461,-0.000007616241911303881,,0
462,-0.000007159275951160686,,0
463,-0.000006729731799037208,,0
464,-0.000006325962929754926,,0
465,-0.000005946421829707113,,0
466,-0.000005589654028641224,,0
467,-0.000005254292491672073,,0
468,-0.0000049390523471941,,0
469,-0.000004642725936705254,0,0
470,-0.000004364178163748678,,0
471,-0.00000410234212199271,,0
472,-0.000003856214988337966,,0
473,-0.000003624854166908375,,0
474,-0.000003407373661717342,,0
475,-0.0000032029406718298214,,0
476,-0.000003010772393004532,,0
477,-0.0000028301330075410323,,0
478,-0.0000026603308615570044,,0
479,-0.000002500715809564113,,0
480,-0.000002350676718995107,,0
481,-0.0000022096391284012014,,0
482,-0.0000020770630423643076,,0
483,-0.0000019524408627929757,,0
484,-0.0000018352954436723507,,0
485,-0.000001725178261997157,,0
486,-0.0000016216677000824288,,0
487,-0.0000015243674316546935,,0
488,-0.0000014329049019746136,,0
489,-0.0000013469299047233306,,0
490,-0.0000012661132383569132,,0
491,-0.0000011901454473564012,,0
492,-0.0000011187356378721805,,0
493,-0.0000010516103634479418,,0
494,-0.0000009885125802470592,,0
495,-0.0000009292006619618404,,0
496,-0.0000008734474756186839,,0
497,-0.0000008210395123355108,,0
498,-0.0000007717760711304008,,0
499,-0.0000007254684888947529,,0
500,-0.0000006819394207880205,1,0
501,-0.000000641022160562586,,0
502,-0.0000006025600012555512,,0
503,-0.000000566405638322726,,0
504,-0.0000005324206038449352,,0
505,-0.0000005004747358358825,,0
506,0.4192047611123233,,1
507,0.6826125633786976,,1
508,0.8373434885578807,,1
509,0.9187379162470716,,1
510,0.9527430851716752,,1
511,0.9579146159776282,,1
512,0.9470134254085957,,1
513,0.9283686421658092,,1
514,0.9070599859263279,,1
515,0.8859112927976412,,1
516,0.8662805418213912,,1
517,0.8486486457422624,,1
518,0.8330281130190849,,1
519,0.8192246730442447,,1
520,0.8069887389528446,,1
521,0.7960910737817043,,1
522,0.7863509646332412,,1
523,0.7776379793281742,,1
524,0.7698615818154202,,1
525,0.7629573351094479,,1
526,0.7568743558728184,,1
527,0.7515659840266837,,1
528,0.7469840175497489,,1
529,0.7430760296399106,,1
530,0.7397849612421608,,1
531,0.737050156212429,,1
532,0.734809131134633,0,1
533,0.7329995518960868,,1
534,0.7315610693379926,,1
535,0.7304368190967202,,1
536,0.27035309615766384,,0
537,-0.00014818174882713642,,0
538,-0.14696240896630666,,0
539,-0.21587359289152203,,0
540,-0.2383968551251827,,0
541,-0.23554476774260918,,0
542,-0.22065463624347248,,0
543,-0.20163353300263961,,0
544,-0.1827202668604494,,0
545,-0.16581680433806725,,0
546,-0.15144927322954904,,0
547,-0.13942657315303178,,0
548,-0.12926386013875032,,0
549,-0.12043177035879826,,0
550,-0.1124833804422084,,0
551,-0.10510119704722044,,0
552,-0.0980967718979527,,0
553,-0.09138649303317727,,0
554,-0.08495924746560762,,0
555,-0.07884533252234367,,0
556,-0.07309131328031929,,0
557,-0.06774236275131343,,0
558,-0.06283172059092997,,0
559,-0.05837595134550351,,0
560,-0.0543743716573996,,0
561,-0.050811092951015324,,0
562,-0.047658400046923066,,0
563,-0.044880526104467286,0,0
564,-0.04243721080039816,,0
565,-0.040286700936286696,,0
566,-0.03838805640196441,,0
567,-0.03670276146588597,,0
568,-0.03519572202733036,,0
569,-0.03383576720273196,,0
570,-0.03259578174391757,,0
571,-0.03145258572836988,,0
572,-0.03038665857360555,,0
573,-0.029381781956243937,,0
574,-0.02842465463271278,,0
575,-0.02750451363973935,,0
576,-0.026612781781785055,,0
577,-0.025742750724032416,,0
578,-0.024889301947856615,,0
579,-0.024048663609008755,,0
580,-0.023218199236770223,,0
581,-0.022396223554111708,,0
582,-0.02158184092723559,,0
583,-0.020774802642207477,,0
584,-0.01997538005751493,,0
585,-0.019184251503611405,,0
586,-0.01840240148856915,,0
587,-0.01763103127986499,,0
588,-0.016871480264391073,,0
589,-0.016125157664916342,,0
590,-0.015393484245953057,,0
591,-0.01467784361273066,,0
592,-0.01397954262836747,,0
593,-0.013299780375098798,,0
594,-0.012639624987373662,1,0
595,-0.01199999760248208,,0
596,-0.01138166261675371,,0
