t,nw_0,target_0,input_0
0,0.25753453046937125,1,1
1,0.48763047845213947,,1
2,0.6925879310752663,,1
3,0.8745891698849562,,1
4,1.0357015029652352,,1
5,1.1778801356917086,,1
6,1.3029710738058,,1
7,1.4127140525905801,,1
8,1.5087454860552896,,1
9,1.5926014301927438,,1
10,1.665720554559961,,1
11,1.7294471166309577,,1
12,1.7850339335961891,,1
13,1.8336453465171019,,1
14,1.8763601719833503,,1
15,1.9141746366860417,,1
16,1.9480052905640406,,1
17,1.9786918944531067,,1
18,2.0070002784233907,,1
19,2.033625167254698,,1
20,2.0591929697580866,,1
21,2.0842645289064308,,1
22,2.10933782998832,,1
23,2.1348506642436575,,1
24,2.1611832456793536,,1
25,2.1886607789898704,,1
26,2.2175559767351984,,1
27,2.248091524140591,,1
28,2.2804424900888165,,1
29,2.314738683070928,,1
30,2.168505608787612,,0
31,2.0361916578934824,,0
32,1.9169703189525649,0,0
33,1.8100507417461102,,0
34,1.7146765499711876,,0
35,1.6301246864191796,,0
36,1.5557042897374345,,0
37,1.4907556019201706,,0
38,1.4346489057115264,,0
39,1.3867834911347927,,0
40,1.3465866503957358,,0
41,1.3135127004333214,,0
42,1.287042032424253,,0
43,1.2666801875632387,,0
44,1.2519569584807329,,0
45,1.242425515663939,,0
46,1.2376615582808554,,0
47,1.2372624888231911,,0
48,1.240846610997373,,0
49,1.2480523503174936,,0
50,1.2585374968683993,,0
51,1.2719784697134457,,0
52,1.288069602452552,,0
53,1.306522449431661,,0
54,1.3270651121310237,,0
55,1.3494415852643868,,0
56,1.3734111221346055,,0
57,1.3987476188013588,,0
58,1.4252390166286517,,0
59,1.4526867227870994,,0
60,1.480905048296595,,0
61,1.5097206632028062,,0
62,1.5389720684911907,,0
63,1.568509084349408,0,0
64,1.59819235439274,,0
65,1.6278928654842613,,0
66,1.657491482778445,,0
67,1.686878499630378,,0
68,1.7159532020159212,,0
69,1.744623447117112,,0
70,1.7728052557335277,,0
71,1.8004224181824324,,0
72,1.8274061133646895,,0
73,1.8536945406686516,,0
74,1.8792325643977623,,0
75,1.903971370416893,,0
76,1.9278681347010203,,0
77,1.9508857034973648,,0
78,1.9729922848002577,,0
79,1.9941611508519959,,0
80,2.0143703513859563,,0
81,2.0336024373322914,,0
82,2.051844194713823,,0
83,2.0690863884636705,,0
84,2.0853235158973327,,0
85,2.100553569586044,,0
86,2.1147778093737344,,0
87,2.1280005432882234,,0
88,2.140228917103908,,0
89,2.151472712314309,,0
90,2.1617441522807113,,0
