t,nw_0,target_0,input_0
0,0.5703831016275522,1,1
1,0.9296327005794986,,1
2,1.150048448483489,,1
3,1.2775759685593644,,1
4,1.3400549435440023,,1
5,1.3544237465877842,,1
6,1.3319737589951144,,1
7,1.2815846048455848,,1
8,1.2113494707932437,,1
9,1.12912444776613,,1
10,1.0424664910072723,,1
11,0.9583035392995436,,1
12,0.8825631560856158,,1
13,0.8198872630956755,,1
14,0.7734852816405802,,1
15,0.7451277922665716,,1
16,0.7352551255559581,,1
17,0.7431646929251619,,1
18,0.7672412293916473,,1
19,0.8052001979478574,,1
20,0.8543226519654015,,1
21,0.9116675985197045,,1
22,0.9742542408517672,,1
23,1.0392110809391957,,1
24,1.1038918779060731,,1
25,1.1659602448705968,,1
26,1.2234456268941827,,1
27,1.274773874772527,,1
28,1.3187758473741082,,1
29,1.3546775691086195,,1
30,0.830691001925759,,0
31,0.5086516130855205,,0
32,0.30113468115626096,0,0
33,0.15761392833923882,,0
34,0.051231705648548065,,0
35,-0.03118352967771898,,0
36,-0.09570523666590236,,0
37,-0.14525286635493467,,0
38,-0.18170419450987507,,0
39,-0.2068391263786239,,0
40,-0.22261137262192454,,0
41,-0.231095958541359,,0
42,-0.2343327106255899,,0
43,-0.23418189929754218,,0
44,-0.23223375858020523,,0
45,-0.22977051190953146,,0
46,-0.2277629232440046,,0
47,-0.22688370141203507,,0
48,-0.2275273682239889,,0
49,-0.22983344373698733,,0
50,-0.23371388043763597,,0
51,-0.23888644731792574,,0
52,-0.24491450755573307,,0
53,-0.25125180224975985,,0
54,-0.2572894352468236,,0
55,-0.26240165577716335,,0
56,-0.26598722892234683,,0
57,-0.26750392224826935,,0
58,-0.26649462494221776,,0
59,-0.2626046078223423,,0
60,-0.25559026945935104,,0
61,-0.24532032080585342,,0
62,-0.2317707280748582,,0
63,-0.21501489092303805,0,0
64,-0.19521052843486775,,0
65,-0.17258463011483993,,0
66,-0.14741764813221447,,0
67,-0.12002789547612869,,0
68,-0.09075689710813428,,0
69,-0.059956233414954596,,0
70,-0.027976226431088325,,0
71,0.004843345831943235,,0
72,0.03818046099547612,,0
73,0.07173605705847796,,0
74,0.10523738485241463,,0
75,0.13843972552574613,,0
76,0.1711267302112971,,0
77,0.2031096582340235,,0
78,0.23422579157187595,,0
79,0.26433628995132374,,0
80,0.2933237263178683,,0
81,0.321089509863441,,0
82,0.347551366535658,,0
83,0.372641007880101,,0
84,0.3963020806089157,,0
85,0.41848845336787344,,0
86,0.43916286518880043,,0
87,0.45829593296910187,,0
88,0.4758654934808937,,0
89,0.491856238977197,,0
90,0.5062595942395747,,0
91,0.5190737764918272,,0
92,0.5303039774308866,,0
93,0.5399626080514046,,0
94,0.5480695512751568,1,0
95,0.5546523739470337,,0
96,0.559746457858916,,0
97,0.5633950184924981,,0
98,0.5656489895775574,,0
99,0.5665667608634877,,0
100,0.5662137652998487,,0
101,0.5646619197994376,,0
102,0.561988930679884,,0
103,0.558277480589072,,0
104,0.5536143181300937,,0
105,0.5480892744906798,,0
106,0.5417942331840266,,0
107,0.5348220796019785,,0
108,0.5272656565839056,,0
109,0.5192167507584806,,0
110,0.5107651321819193,,0
111,0.5019976669457393,,0
112,0.49299751913216894,,0
113,0.48384345492404623,,0
114,0.47460925798581477,,0
115,0.4653632615663832,,0
116,0.4561679992581178,,0
117,0.44707997308424074,,0
118,0.4381495346627444,,0
119,0.4294208726705475,,0
120,0.4209320977476101,,0
121,0.4127154143573908,,0
122,0.40479736795990706,,0
123,0.3971991551427341,,0
124,0.3899369840662652,,0
125,0.3830224726741267,0,0
126,0.37646307255145817,,0
127,0.3702625070307495,,0
128,0.364421213092319,,0
129,0.35893677772834054,,0
130,0.3538043606816965,,0
131,0.3490170967819437,,0
132,0.3445664724336186,,0
133,0.3404426721251661,,0
134,0.33663489208410047,,0
135,0.33313161937650726,,0
136,0.32992087581368157,,0
137,0.3269904269690942,,0
138,0.32432795741464693,,0
139,0.3219212139511125,,0
140,0.3197581191340244,,0
141,0.3178268577868797,,0
142,0.316115939456302,,0
143,0.31461423990894977,,0
144,0.31331102481007234,,0
145,0.31219595867226513,,0
146,0.3112591020349993,,0
147,0.31049089964525867,,0
148,0.30988216217185904,,0
149,0.3094240437142344,,0
150,0.30910801707353364,,0
151,0.3089258484512529,,0
152,0.3088695729383286,,0
153,0.30893147186442915,,0
154,0.3091040527999851,,0
155,0.309380032747977,,0
156,0.30975232483270077,,0
157,0.31021402859148317,0,0
158,0.3107584238039518,,0
159,0.31137896765274053,,0
160,0.31206929489847113,,0
161,0.31282322066955026,,0
162,0.31363474541163816,,0
163,0.3144980615102062,,0
164,0.3154075610895768,,0
165,0.31635784450045557,,0
166,0.31734372903187724,,0
167,0.3183602574199058,,0
168,0.3194027057713522,,0
169,0.32046659057317606,,0
170,0.3215476745150607,,0
171,0.32264197091096736,,0
172,0.3237457465638933,,0
173,0.3248555229743557,,0
174,0.32596807584624665,,0
175,0.32708043289236977,,0
176,0.3281898699853698,,0
177,0.3292939057373967,,0
178,0.33039029462343694,,0
179,0.33147701878843105,,0
180,0.3325522786975974,,0
181,0.3336144828026151,,0
182,0.33466223640409787,,0
183,0.335694329893542,,0
184,0.33670972655610876,,0
185,0.3377075501098943,,0
186,0.33868707214824867,,0
187,0.33964769963996355,,0
188,0.34058896262824034,1,0
189,0.34151050225391777,,0
190,0.3424120592120028,,0
191,0.3432934627335895,,0
192,0.3441546201682182,,0
193,0.34499550722505523,,0
194,0.34581615891511674,,0
195,0.3466166612216921,,0
196,0.3473971435120282,,0
197,0.34815777169056283,,0
198,0.34889874208272165,,0
199,0.3496202760283518,,0
200,0.3503226151554508,,0
201,0.35100601729804026,,0
202,0.3516707530164247,,0
203,0.3523171026741114,,0
204,0.35294535402276317,,0
205,0.3535558002450112,,0
206,0.35414873840434424,,0
207,0.35472446825176385,,0
208,0.3552832913400401,,0
209,0.35582551039842203,,0
210,0.3563514289230978,,0
