t,nw_0,target_0,input_0
0,0.5037396092795818,1,1
1,0.8746844508789494,,1
2,1.1407987813208917,,1
3,1.325276228955305,,1
4,1.4469750224262696,,1
5,1.520998036101098,,1
6,1.559302163464093,,1
7,1.5712702783904475,,1
8,1.5642139930707226,,1
9,1.543797427885776,,1
10,1.5143845607102457,,1
11,1.4793186254408377,,1
12,1.4411439897022051,,1
13,1.4017807660461001,,1
14,1.3626612952047807,,1
15,1.32483627389473,,1
16,1.2890570007437148,,1
17,1.255839074473484,,1
18,1.2255118906216984,,1
19,1.1982574176304865,,1
20,1.1741409728541798,,1
21,1.1531360620203,,1
22,1.1351447963825618,,1
23,1.1200149620520103,,1
24,1.1075544805823767,,1
25,1.0975437567676383,,1
26,1.08974624251865,,1
27,1.0839174372395244,,1
28,1.0798124792202657,,1
29,1.0771924457225923,,1
30,0.7282039445846163,,0
31,0.4818149423715239,,0
32,0.3123260739716206,0,0
33,0.19930378686390204,,0
34,0.12677133616168634,,0
35,0.08239695332415042,,0
36,0.05677529299670525,,0
37,0.04282723187681614,,0
38,0.03531331444311325,,0
39,0.03044581949004488,,0
40,0.025582192211304422,,0
41,0.018983445233054286,,0
42,0.009623091880781698,,0
43,-0.002965529299128966,,0
44,-0.018813371335250406,,0
45,-0.03761890977180338,,0
46,-0.05883623179985198,,0
47,-0.08175205699972254,,0
48,-0.10555433838514094,,0
49,-0.12939388155966286,,0
50,-0.15243939345859825,,0
51,-0.17392552393607097,,0
52,-0.19319282122298553,,0
53,-0.2097181450394452,,0
54,-0.2231340392683327,,0
55,-0.2332359092109227,,0
56,-0.23997657232153857,,0
57,-0.24344877789950342,,0
58,-0.2438574712040825,,0
59,-0.24148471446190023,,0
60,-0.23665106346488207,,0
61,-0.2296776510381011,,0
62,-0.22085312220723202,,0
63,-0.21040886226639996,0,0
64,-0.19850473157770981,,0
65,-0.1852259615855097,,0
66,-0.1705902583328219,,0
67,-0.15456281180746767,,0
68,-0.13707607047360224,,0
69,-0.11805092653539903,,0
70,-0.0974163265675559,,0
71,-0.07512510367843409,,0
72,-0.051164791147944755,,0
73,-0.025563107324769997,,0
74,0.0016114538475175064,,0
75,0.030253002621789808,,0
76,0.06022444401132792,,0
77,0.09136529261141652,,0
78,0.12350004236353002,,0
79,0.15644621993438762,,0
80,0.1900214778224188,,0
81,0.22404930483541197,,0
82,0.2583631270664226,,0
83,0.29280873383486217,,0
84,0.3272450901931746,,0
85,0.361543694654047,,0
86,0.3955867129898221,,0
87,0.42926417055506255,,0
88,0.46247051894725194,,0
89,0.4951009084839478,,0
90,0.527047495442154,,0
91,0.5581960918833053,,0
92,0.5884234269282894,,0
93,0.6175952340732228,,0
94,0.6455653138675522,1,0
95,0.6721756505972629,,0
96,0.6972575914861613,,0
97,0.7206340327088662,,0
98,0.7421225021835509,,0
99,0.7615389868742036,,0
100,0.7787023225932994,,0
101,0.7934389460534604,,0
102,0.8055878003405135,,0
103,0.8150051840567887,,0
104,0.821569339472974,,0
105,0.8251845852302088,,0
106,0.8257848144163883,,0
107,0.823336199908238,,0
108,0.8178389768354449,,0
109,0.8093282079109605,,0
110,0.7978734815606294,,0
111,0.7835775444715264,,0
112,0.7665739269877967,,0
113,0.7470236776561807,,0
114,0.7251113766810191,,0
115,0.7010406408883301,,0
116,0.6750293591710905,,0
117,0.6473049030577076,,0
118,0.6180995405236465,,0
119,0.5876462443567407,,0
120,0.5561750344798838,,0
121,0.5239099341859934,,0
122,0.4910665616479089,,0
123,0.45785032786833824,,0
124,0.4244551757061248,,0
125,0.3910627740187408,0,0
126,0.35784207558328973,,0
127,0.324949154289301,,0
128,0.2925272518631107,,0
129,0.260706982610724,,0
130,0.22960666251131856,,0
131,0.1993327437345735,,0
132,0.16998034582980476,,0
133,0.14163388011503353,,0
134,0.11436776470405619,,0
135,0.08824722519357822,,0
136,0.06332917154620421,,0
137,0.039663136373059654,,0
138,0.017292254675079194,,0
139,-0.003745739096980366,,0
140,-0.02341752359251932,,0
141,-0.04169324083295713,,0
142,-0.05854561191563278,,0
143,-0.07394914404771691,,0
144,-0.08787945184912463,,0
