t,nw_0,target_0,input_0
0,0.5253155617681988,1,1
1,0.8233901016966271,,1
2,0.9808315587650588,,1
3,1.0538679423258033,,1
4,1.0781091226542698,,1
5,1.0756891734720495,,1
6,1.0601426695793337,,1
7,1.0396005685704213,,1
8,1.018831186930559,,1
9,1.000521420623362,,1
10,0.9860719449405966,,1
11,0.9760876027894445,,1
12,0.9706796001880802,,1
13,0.9696530326405963,,1
14,0.9726252497223329,,1
15,0.9791026872218329,,1
16,0.9885325950046012,,1
17,1.0003392230957266,,1
18,1.0139499329252237,,1
19,1.0288143360994284,,1
20,1.0444182485886275,,1
21,1.0602935475920603,,1
22,1.0760246606527901,,1
23,1.0912522400934228,,1
24,1.1056744883486154,,1
25,1.119046551595861,,1
26,1.1311783652642733,,1
27,1.141931304180949,,1
28,1.1512139579854233,,1
29,1.1589773180638825,,1
30,0.7181733481891595,,0
31,0.42764970113228784,,0
32,0.24162208509914956,0,0
33,0.12598560249130492,,0
34,0.056250145330506596,,0
35,0.015437045074881806,,0
36,-0.00783488958928824,,0
37,-0.020947840564860265,,0
38,-0.02853539869486571,,0
39,-0.033409286835592966,,0
40,-0.037213776083301564,,0
41,-0.04086706290835951,,0
42,-0.04484581625418782,,0
43,-0.04936064168862769,,0
44,-0.054459906538643355,,0
45,-0.06008936549724048,,0
46,-0.06612643481728492,,0
47,-0.0724011983285503,,0
48,-0.07871127227696895,,0
49,-0.08483426559039955,,0
50,-0.09053942066686477,,0
51,-0.09559878030267246,,0
52,-0.09979761467417225,,0
53,-0.10294363214813035,,0
54,-0.10487452099228753,,0
55,-0.1054635083224712,,0
56,-0.10462280102305246,,0
57,-0.10230494469854938,,0
58,-0.09850227658286562,,0
59,-0.09324474710012903,,0
60,-0.0865964420569616,,0
61,-0.07865115814891688,,0
62,-0.06952737598122742,,0
63,-0.05936294519723156,0,0
64,-0.04830975317843811,,0
65,-0.03652859865876779,,0
66,-0.02418443968448123,,0
67,-0.011442135498974555,,0
68,0.0015372432555370852,,0
69,0.01459950060044074,,0
70,0.027599794183358506,,0
71,0.040404528847868715,,0
72,0.05289270498525679,,0
73,0.06495677437820467,,0
74,0.0765030636775569,,0
75,0.08745182887055125,,0
76,0.09773700398232499,,0
77,0.10730570462298705,,0
78,0.11611754258338973,,0
79,0.12414380212309432,,0
80,0.131366522405195,,0
81,0.1377775241304279,,0
82,0.1433774121255627,,0
83,0.14817457968000453,,0
84,0.1521842349565453,,0
85,0.1554274649224757,,0
86,0.1579303480006018,,0
87,0.15972312303257444,,0
88,0.16083941915702551,,0
89,0.16131554878967963,,0
90,0.16118986399661184,,0
91,0.16050217511258927,,0
92,0.1592932294088269,,0
93,0.1576042468947315,,0
94,0.1554765098853398,1,0
95,0.1529510027251524,,0
96,0.15006809798028217,,0
97,0.14686728545189737,,0
98,0.14338694048884804,,0
99,0.13966412825655103,,0
100,0.1357344408293436,,0
101,0.13163186419647885,,0
102,0.12738867249426158,,0
103,0.1230353469895221,,0
104,0.11860051753631061,,0
105,0.1141109244055122,,0
106,0.10959139854456659,,0
107,0.1050648584621545,,0
108,0.10055232205201507,,0
109,0.0960729317732653,,0
110,0.09164399169405696,,0
111,0.08728101498422736,,0
112,0.08299778051307517,,0
113,0.07880639727318223,,0
114,0.07471737541248206,,0
115,0.07073970271632128,,0
116,0.0668809254405383,,0
117,0.06314723245666477,,0
118,0.05954354173205758,,0
119,0.05607358823129724,,0
120,0.05274001239085641,,0
121,0.04954444838655206,,0
122,0.04648761148244396,,0
123,0.043569383820011846,,0
124,0.0407888980772101,,0
125,0.03814461849760709,0,0
126,0.03563441885952255,,0
127,0.033255657023484736,,0
128,0.031005245762424676,,0
129,0.028879719642508465,,0
130,0.026875297782701743,,0
131,0.024987942377652866,,0
132,0.02321341292090685,,0
133,0.021547316113511742,,0
134,0.01998515148661657,,0
135,0.01852235280544172,,0
136,0.017154325356208516,,0
137,0.015876479247030756,,0
138,0.01468425887867095,,0
139,0.013573168761613803,,0
140,0.012538795872170515,,0
141,0.011576828752684247,,0
142,0.01068307356961776,,0
143,0.009853467348558314,,0
144,0.009084088607513816,,0
145,0.008371165609297819,,0
146,0.007711082450990284,,0
147,0.007100383203439975,,0
148,0.0065357743070331075,,0
149,0.006014125421762327,,0
150,0.005532468920136139,,0
151,0.005087998201208847,,0
152,0.004678064992918076,,0
153,0.0043001757984657335,,0
154,0.003951987630737924,,0
155,0.0036313031668923296,,0
156,0.0033360654435762973,,0
157,0.0030643522016202134,0,0
158,0.0028143699779137987,,0
159,0.0025844480313692883,,0
160,0.002373032179557523,,0
161,0.002178678612948828,,0
162,0.0020000477444547023,,0
163,0.00183589814359589,,0
164,0.0016850805966330395,,0
165,0.00154653232691155,,0
166,0.0014192714030196495,,0
167,0.001302391356510291,,0
168,0.0011950560255918558,,0
169,0.0010964946365039914,,0
170,0.001005997130143801,,0
171,0.0009229097378670253,,0
172,0.0008466308073323982,,0
173,0.0007766068765447769,,0
174,0.0007123289920601891,,0
175,0.0006533292654424643,,0
176,0.0005991776606209559,,0
177,0.0005494790035737301,,0
178,0.0005038702049055259,,0
179,0.00046201768523760776,,0
180,0.0004236149928996383,,0
