t,nw_0,target_0,input_0
0,0.8356617595422682,1,1
1,1.4232405356712587,,1
2,1.830350945660261,,1
3,2.101354530078466,,1
4,2.268650979696267,,1
5,2.357604432610315,,1
6,2.3884400941058312,,1
7,2.3771881816489118,,1
8,2.3364250489327563,,1
9,2.275925502028528,,1
10,2.203197432652157,,1
11,2.1239004756780604,,1
12,2.042183593261763,,1
13,1.9609759189942788,,1
14,1.8822475085593346,,1
15,1.8072409682215658,,1
16,1.7366685901275731,,1
17,1.6708709554688914,,1
18,1.609937456782957,,1
19,1.5537933111222755,,1
20,1.5022598665851878,,1
21,1.4550953218804987,,1
22,1.4120220258762095,,1
23,1.3727450254666613,,1
24,1.3369650205649566,,1
25,1.3043876557679737,,1
26,1.2747302232008002,,1
27,1.2477263414725193,,1
28,1.2231289264701355,,1
29,1.200711685217257,,1
30,0.19152774987226917,,0
31,-0.52786066061232,,0
32,-1.0448359596026018,0,0
33,-1.4144405000315428,,0
34,-1.673476828884222,,0
35,-1.8491278490080256,,0
36,-1.9622025512664187,,0
37,-2.028520006358469,,0
38,-2.0600276676431406,,0
39,-2.0658120513376264,,0
40,-2.0528639884489364,,0
41,-2.0265649702700324,,0
42,-1.9909712030237916,,0
43,-1.9490018044189301,,0
44,-1.9026104517614644,,0
45,-1.8529763841004563,,0
46,-1.8007160248506044,,0
47,-1.7460979109840435,,0
48,-1.6892387851961999,,0
49,-1.6302624967377062,,0
50,-1.569411027378721,,0
51,-1.5071051805567537,,0
52,-1.4439593207302135,,0
53,-1.3807591699690978,,0
54,-1.3184139351251578,,0
55,-1.2578943008365109,,0
56,-1.200166664415336,,0
57,-1.1461319954986777,,0
58,-1.096575322325996,,0
59,-1.0521293722933298,,0
60,-1.0132535475731768,,0
61,-0.9802274103014068,,0
62,-0.9531563860870433,,0
63,-0.9319865926018734,0,0
64,-0.9165255501554359,,0
65,-0.9064658859241282,,0
66,-0.9014097783413748,,0
67,-0.9008925834931305,,0
68,-0.9044046884484152,,0
69,-0.9114110814402663,,0
70,-0.9213684199681682,,0
71,-0.9337395556571635,,0
72,-0.9480055841898045,,0
73,-0.9636755613883949,,0
74,-0.9802940767189383,,0
75,-0.9974469052917139,,0
76,-1.014764967252941,,0
77,-1.0319268101163286,,0
78,-1.0486598005595553,,0
79,-1.0647401765039963,,0
80,-1.079992077544195,,0
81,-1.0942856494608706,,0
82,-1.1075343102629613,,0
83,-1.119691270527768,,0
84,-1.1307454161691597,,0
85,-1.1407166819190504,,0
86,-1.1496510633239354,,0
87,-1.157615429430745,,0
88,-1.1646923046011808,,0
89,-1.1709747847741387,,0
90,-1.1765617412049378,,0
91,-1.1815534445694305,,0
92,-1.1860477163270573,,0
93,-1.190136684666151,,0
94,-1.1939041914556432,1,0
95,-1.1974238664097525,,0
96,-1.200757856786336,,0
