t,nw_0,target_0,input_0
0,0.671465126865098,1,1
1,0.9713528215333154,,1
2,1.078302513758931,,1
3,1.090441429014915,,1
4,1.0613529943325768,,1
5,1.0199513543846654,,1
6,0.9810474348706477,,1
7,0.9512137215276647,,1
8,0.9322504523240241,,1
9,0.9233385549335813,,1
10,0.9224028894951357,,1
11,0.926960761468546,,1
12,0.9346201650585488,,1
13,0.9433390677036073,,1
14,0.9515268646166967,,1
15,0.9580483042750108,,1
16,0.9621737488669502,,1
17,0.9635060724740765,,1
18,0.9619035307434238,,1
19,0.9574095367794608,,1
20,0.9501943095883254,,1
21,0.940509497900842,,1
22,0.9286546788491898,,1
23,0.9149536200632256,,1
24,0.8997379572841051,,1
25,0.8833361458783942,,1
26,0.8660659555207327,,1
27,0.8482292379116126,,1
28,0.8301081184394296,,1
29,0.8119621019602872,,1
30,0.42123010534396255,,0
31,0.12743683408999074,,0
32,-0.05321494072189609,0,0
33,-0.13586839366649894,,0
34,-0.14838994869771394,,0
35,-0.11965153598571632,,0
36,-0.07336188057560944,,0
37,-0.02591436152580462,,0
38,0.013303941176615042,,0
39,0.04042456147289342,,0
40,0.05530244893110703,,0
41,0.05989918114502191,,0
42,0.05704783929016455,,0
43,0.04962985839252776,,0
44,0.04010693256589981,,0
45,0.030319624099371834,,0
46,0.021464078240465256,,0
47,0.014172445207395024,,0
48,0.008641291087566949,,0
49,0.004770217952834499,,0
50,0.002287830676507785,,0
51,0.0008534578699390116,,0
52,0.00013086768897613288,,0
53,-0.0001648164256545792,,0
54,-0.00024303702609851374,,0
55,-0.00023142042712109845,,0
56,-0.00018182265251037721,,0
57,-0.00008403898517389541,,0
58,0.00011676138789978863,,0
59,0.0005018801062916523,,0
60,0.0011623137416204576,,0
61,0.002184661388625997,,0
62,0.0036403694904882655,,0
63,0.005578471367721799,0,0
64,0.008021627591935032,,0
65,0.01096504806893131,,0
66,0.01437775435731628,,0
67,0.018205597695523157,,0
68,0.022375462491090597,,0
69,0.0268001376027122,,0
70,0.031383412987489104,,0
71,0.036025044996128325,,0
72,0.040625320752747746,,0
73,0.04508903438854328,,0
74,0.04932876142434636,,0
75,0.05326738013382186,,0
76,0.056839839442489215,,0
77,0.0599942119774281,,0
78,0.0626920990795462,,0
79,0.06490847312340853,,0
80,0.06663105276030017,,0
81,0.06785931017086738,,0
82,0.06860320750985113,,0
83,0.06888175377121597,,0
84,0.06872146448329813,,0
85,0.06815479598852087,,0
86,0.06721861443686435,,0
87,0.06595274773381565,,0
88,0.0643986570902947,,0
89,0.06259825394660896,,0
90,0.06059287818606757,,0
91,0.05842244491292592,,0
92,0.05612475975005053,,0
93,0.053734996646547184,,0
94,0.05128532754657189,1,0
95,0.0488046898834292,,0
96,0.04631867561942939,,0
97,0.043849524319934496,,0
98,0.04141620238430206,,0
99,0.039034550906227095,,0
100,0.03671748555199759,,0
101,0.03447523318518867,,0
102,0.03231559159868302,,0
103,0.030244200523006727,,0
104,0.028264813961788655,,0
105,0.026379565776693696,,0
106,0.024589222237458814,,0
107,0.022893416916100043,,0
