wave_type,elapsed
Saw(0.15),0.065215309
Saw(0.15),0.063328565
Saw(0.15),0.062393131
Saw(0.15),0.060451599
Saw(0.15),0.059364063
Saw(0.15),0.057573598
Saw(0.15),0.055655348
Saw(0.15),0.054526461
Saw(0.15),0.05245039
Saw(0.15),0.051580649
Saw(0.15),0.049672651
Saw(0.15),0.047824093
Saw(0.15),0.046709882
Saw(0.15),0.066797455
Saw(0.15),0.064794698
Saw(0.15),0.062745301
Saw(0.15),0.060875167
Saw(0.15),0.059847851
Saw(0.15),0.057775204
Saw(0.15),0.056747134
Saw(0.15),0.054613087
Saw(0.15),0.052883194
Saw(0.15),0.052094566
Saw(0.15),0.050379377
Saw(0.15),0.048634681
Saw(0.15),0.04767787
Saw(0.15),0.045465821
Saw(0.15),0.066084369
Saw(0.15),0.064135743
Saw(0.15),0.063172011
Saw(0.15),0.061003275
Saw(0.15),0.059134304
Saw(0.15),0.057984976
Saw(0.15),0.056335672
Saw(0.15),0.054340978
Saw(0.15),0.053323206
Saw(0.15),0.051429367
Saw(0.15),0.05044951
Saw(0.15),0.048402881
