t,input,nw
0,1,0.2703727545631942
1,0,0.25314511788096716
2,0,0.2574233044447798
3,0,0.2733405089403407
4,0,0.2942527329497917
5,0,0.3158760648155976
6,0,0.33562385889868107
7,0,0.3521026064487067
8,0,0.36473294381197796
9,0,0.37346860800351944
10,0,0.37859142539327717
11,0,0.380564776088387
12,0,0.37993155850305493
13,0,0.3772456085037801
14,0,0.3730279107667349
15,0,0.3677408669847626
16,0,0.36177543370984067
17,0,0.3554471779078794
18,0,0.3489982767238824
19,0,0.34260325673764624
20,0,0.33637686674923195
21,0,0.33038293990694134
22,0,0.3246434531725795
23,0,0.3191472572911378
24,0,0.3138581470983408
25,0,0.3087220852260226
26,1,0.5812565223413504
27,0,0.5584404881094756
28,0,0.5576200827521376
29,0,0.5686587077312266
30,0,0.5846947462821142
31,0,0.6012715726796163
32,0,0.6156685529347108
33,0,0.6263916272954795
34,0,0.6327897607496178
35,0,0.6347699401811147
36,0,0.63258869474648
37,0,0.626702492330713
38,0,0.6176629645097726
39,0,0.6060458581812096
40,0,0.5924050090294015
41,0,0.5772445704536651
42,0,0.5610042888502411
43,0,0.544053858311285
44,0,0.5266933711139812
45,0,0.5091576523710843
46,0,0.4916228678632777
47,0,0.4742142567509653
48,0,0.45701419326416026
49,0,0.44007004642957526
50,0,0.4234015031147478
51,1,0.688504158017393
52,0,0.6555561834037107
53,0,0.6448563152997728
54,0,0.6462711024078018
55,0,0.6529508173909431
56,0,0.6604552284882468
57,0,0.6660814392536523
58,0,0.6683522007514107
59,0,0.6666308095227018
60,0,0.6608351180068182
61,0,0.6512285054656708
62,0,0.6382700566077348
63,0,0.6225098152524433
64,0,0.6045179437118415
65,0,0.5848390300908175
66,0,0.5639647358411155
67,0,0.5423195423828799
68,0,0.520255604976751
69,0,0.4980537109369676
70,0,0.4759281156364876
71,0,0.4540336338320623
72,0,0.43247382924190036
73,0,0.4113094999142932
74,0,0.3905669236956686
75,1,0.6489307364164834
76,0,0.6128642615027093
77,0,0.5991607579724558
78,0,0.5976660889376557
79,0,0.6015128991407916
80,0,0.6062457276563284
81,0,0.6091484644920682
82,0,0.6087324635559375
83,0,0.6043513579448545
84,0,0.595915055650881
85,0,0.58368072932541
86,0,0.5681030234794058
87,0,0.549729330479293
88,0,0.5291289557921237
89,0,0.5068474086658865
90,0,0.4833790076249125
91,0,0.45915255884850925
92,0,0.4345261164505061
93,0,0.4097878236924686
94,0,0.38516061127461665
95,0,0.36080913340331744
96,0,0.3368477880060432
97,0,0.3133490221748825
98,0,0.2903513906688211
99,0,0.2678670329150088
100,0,0.24588837771826944
101,1,0.4960815469929454
102,0,0.4595767710471037
103,0,0.4453914374037442
104,0,0.4434001380979691
105,0,0.44676646046675117
106,0,0.4510667962980097
107,0,0.4536167110876592
108,0,0.45295817190425325
109,0,0.4484736612762559
110,0,0.44009963452434064
111,0,0.42811711309905753
112,0,0.41300161697020776
113,0,0.3953182685572738
114,0,0.37565087162551425
115,0,0.3545561862886366
116,0,0.3325365764212691
117,0,0.3100257763290637
118,0,0.2873837761640594
119,0,0.26489781709009463
120,0,0.24278726562276098
121,0,0.2212107422457006
122,0,0.20027434602537308
123,0,0.1800401724477707
124,0,0.160534589099953
125,1,0.4149338556207116
126,0,0.3810170135085684
127,0,0.36978776020345094
128,0,0.3710741728186946
129,0,0.37799366041794613
130,0,0.38607721182219645
131,0,0.3925962147029187
132,0,0.3960501002044001
133,0,0.39578081830220047
134,0,0.3916865925449349
135,0,0.38401274583944733
136,0,0.37320180376170775
137,0,0.3597887134541988
138,0,0.34432998791824954
139,0,0.3273580032832273
140,0,0.3093536314521721
141,0,0.29073196053816286
142,0,0.27183710755306745
143,0,0.2529431187410651
144,0,0.23425873082257898
145,0,0.21593437160025486
146,0,0.19807024456847344
147,0,0.18072469729909457
148,0,0.16392234046333742
149,0,0.14766158222873926
150,0,0.13192138675058196
151,1,0.39308984054767393
152,0,0.36210464405897014
153,0,0.35352173365839334
154,0,0.3571799918606082
155,0,0.3662130551402605
156,0,0.3761720732710856
157,0,0.384351243841504
158,0,0.38927437019204625
159,0,0.39030843422390316
160,0,0.387376615018276
161,0,0.3807485257861867
162,0,0.3708898566494305
163,0,0.35835724342699393
164,0,0.34372715592851577
165,0,0.32755001879671486
166,0,0.31032273452892056
167,0,0.2924743499931868
168,0,0.27436086132261117
169,0,0.2562661443543126
170,0,0.23840677683821632
171,0,0.22093912485478517
172,0,0.2039675329553039
173,0,0.1875528134247082
174,0,0.17172049779459186
175,1,0.4380160110651783
176,0,0.40651778677827544
177,0,0.3976591488496446
178,0,0.40125193603164355
179,0,0.41040141656682927
180,0,0.4206297110032189
181,0,0.4292019582688953
182,0,0.4346134390128844
183,0,0.43620363244468763
184,0,0.4338696339543864
185,0,0.42785670901729844
186,0,0.41860817734328926
187,0,0.4066604554052917
188,0,0.3925720591406474
189,0,0.37687778784464854
190,0,0.36006126623513257
191,0,0.3425405926048528
192,0,0.32466309379148406
193,0,0.3067061792709742
