t,error
0,168.81431530913036
1,157.6846781551764
2,117.99907945930389
3,137.61254682372567
4,846.354343689665
5,108.26155108409448
6,1642.0696777826167
7,186.21809198996354
8,2586.539655219885
9,313.5310619341632
10,3457.829688055798
11,454.29106296406985
12,4047.8628445090344
13,608.2732230197338
14,4253.341475703881
15,850.1469622262688
16,4445.738233852222
17,1120.0649619173687
18,4600.385128076135
19,1205.8392965771586
20,1215.1285268840688
21,1088.716358446286
22,1022.8690475230669
23,993.7603687428474
24,809.585767399781
25,913.2033978666361
26,632.3048457588826
27,879.9128488165135
28,489.7082131547724
29,829.0849694809971
30,371.018701781248
31,766.1084094875102
32,295.5294209054812
33,526.3971118794809
34,231.06685530609258
35,9417.177446516647
36,427.2115338101397
37,11037.744917378226
38,610.7327129458503
39,12456.45095645302
40,806.7405358808833
41,13331.677740275436
42,975.0072319980815
43,13467.394697976444
44,1149.9604576057236
45,12855.417735197285
46,1445.1683867744725
47,12222.129040236168
48,1751.454357406449
49,11460.068842549124
50,1803.7896547902653
51,1881.6920463005704
52,1621.6035751210788
53,1568.1340778946112
54,1471.5640223998416
55,1231.386127757377
56,1338.7455041916862
57,952.8411009127879
58,1273.4708670450252
59,732.4513352552992
60,1183.2377130982518
61,551.1416303313295
62,1076.9993006353538
63,436.1805123414955
64,740.0033584655713
65,339.2203726896927
66,12382.489491073338
67,562.8000823402017
68,14032.576531816023
69,754.3790791893721
70,15415.72903969249
71,953.5978018268013
72,16162.661632990223
73,1118.8299630277422
74,16083.819117248364
75,1291.3919293473537
76,15192.548291916939
77,1592.3351484703014
78,14290.862049050858
79,1902.0949874398132
80,13246.211084167091
81,1944.5788566443002
82,2040.6947318460248
83,1746.6949884841154
84,1697.324501438984
85,1583.3550918269705
86,1330.9677959633646
87,1437.8817955845464
88,1028.39913037032
89,1364.6119525986446
90,789.7171270720353
91,1264.8133540504666
92,593.7674340085107
93,1148.2544136336783
94,469.53956732448114
95,788.9780358126592
96,364.9781103082475
97,13037.764829838412
98,593.3809430227622
99,14688.10535017831
100,786.0430309211354
101,16058.509415140277
102,985.4675832076236
103,16773.91435633646
104,1149.721609382642
105,16646.252456423837
106,1321.518764384722
107,15693.349646223927
108,1623.4177409063975
109,14732.776071369693
110,1933.722032825048
111,13626.52523941776
112,1974.0710233477778
113,2074.076327404584
114,1772.8851941172907
115,1724.416012287263
116,1606.7472654004378
117,1351.837544859432
118,1458.6104885745026
119,1044.2299614481328
120,1383.649106200105
121,801.7170245339105
122,1281.8364155761765
123,602.7043329255711
124,1163.1107177918607
125,476.5362637959504
126,799.1896140366262
127,370.384314385075
128,13173.484953667765
129,599.7385553928397
130,14823.637431404199
131,792.5982112275062
132,16191.213371302603
133,992.0460694427145
134,16899.96643537343
135,1156.0857052159756
136,16762.13916084643
137,1327.7153838339323
138,15796.474497590894
139,1629.8003602892843
140,14823.720460942035
141,1940.2088555585517
142,13704.743611645432
143,1980.1172865433784
144,2080.9229717569397
145,1778.253962422938
146,1729.9712857820834
147,1611.541920115342
148,1356.1164943596818
149,1462.8585869120866
150,1047.475606408949
151,1387.5497409449888
152,804.1773157100633
153,1285.323717482041
154,604.5368228139698
155,1166.1536114715093
156,477.97102727297977
157,801.2811923604554
158,371.49308037148876
159,13201.246735379644
160,601.0399870579208
161,14851.35090250219
162,793.9389603360798
163,16218.340662397137
164,993.3907947716723
165,16925.72808420503
166,1157.386093620535
167,16785.81925705769
168,1328.9811434270075
169,15817.54427083964
170,1631.1036770961814
171,14842.299364689108
172,1941.5331368140708
173,13720.7207172571
174,1981.3515167001276
175,2082.3207086168013
176,1779.3498720161404
177,1731.1053382692667
178,1612.5206153559177
179,1356.9899770077766
180,1463.7256919452373
181,1048.138148609019
182,1388.3458898738616
183,804.679544273955
184,1286.0354750201252
185,604.9109039062132
186,1166.7746433849354
187,478.2639216765104
188,801.7080689525278
189,371.7194315928146
190,13206.911191157722
191,601.3055687041465
192,14857.005092990039
193,794.2125188296033
194,16223.87493154079
195,993.6651317784182
196,16930.983503762818
197,1157.6513641950983
198,16790.649869465546
199,1329.2393330249718
200,15821.842284045108
201,1631.3695095057317
202,14846.089173647017
203,1941.8032322376719
204,13723.979715911826
205,1981.6032410259443
206,2082.605785695275
207,1779.5733845699413
208,1731.3366331266702
209,1612.720220921628
210,1357.1681266469586
211,1463.902537534061
212,1048.273275964232
213,1388.5082626253352
214,804.7819753233582
215,1286.1806352172498
216,604.9871992190439
217,1166.9012995277278
218,478.3236588288371
219,801.7951281978283
220,371.7655972227681
221,13208.066363656983
222,601.3597313811761
223,14858.158155095553
224,794.268306366822
225,16225.003524432377
226,993.721076718272
227,16932.055221279406
228,1157.7054593535547
229,16791.634950755168
230,1329.2919834954964
231,15822.718750729617
232,1631.4237177590428
233,14846.86200158666
234,1941.8583092588503
235,13724.644296120146
236,1981.654571678021
237,2082.663917725986
238,1779.6189623470743
239,1731.3837979643417
240,1612.7609236436908
241,1357.2044542609983
242,1463.9385990931835
243,1048.3008306215238
244,1388.5413728910491
245,804.8028626788165
246,1286.210235535482
247,605.0027570869005
248,1166.927126556705
249,478.33584022338187
250,801.8128808455183
251,371.7750111701352
252,13208.301917505321
253,601.3707758852166
254,14858.393277903757
255,794.2796821213695
256,16225.233657117593
257,993.7324845125153
258,16932.27375602048
259,1157.7164899200889
260,16791.835819148324
261,1329.3027194458564
262,15822.897471281654
263,1631.4347713253896
264,14847.0195889744
265,1941.8695399525343
266,13724.779810562326
267,1981.6650384458078
268,2082.675771363115
269,1779.6282560518337
270,1731.3934152897166
271,1612.769223280764
272,1357.2118617795998
273,1463.9459523551309
274,1048.3064492569235
275,1388.5481243565127
276,804.8071217933077
277,1286.2162712907839
278,605.0059294728208
279,1166.9323929048257
280,478.3383241170529
281,801.8165007595554
282,371.7769307573995
283,13208.349948804378
284,601.3730279501322
285,14858.441221281026
286,794.2820017276287
287,16225.280582946303
288,993.7348106495683
289,16932.318316921504
290,1157.718739135985
291,16791.876777734225
292,1329.304908586068
293,15822.933913747356
294,1631.4370252285657
295,14847.051722222173
296,1941.8718299723334
297,13724.807442965302
298,1981.667172695255
299,2082.678188405592
